devicename	Time	iOSApp State	iC3 Zone	Interval	Travel Time	Distance	Text
richards_iphone	3:07:26p	Away	Away	30 sec	-	0.99 mi	Requesting iOSApp Location #3 > LastLocTime-3:03:27 (4 min ago), LastRequested-3:06:25 (1 min ago)
richards_iphone	3:07:26p	Away	Away	30 sec	-	0.99 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-not_home, Trigger-Sig Loc Change@3:03:27, LastLoc-3:06:55, Zone-not_home, HomeDist-1.59km, inZone-False, GPS-(55.943329, -3.142235), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:07:30p	Away	Away	30 sec	-	0.99 mi	iOSApp Monitor > Trigger-Sig Loc Change@3:03:28 (4m2s ago), State-not_home@3:03:27 (4m3s ago), GPS-(55.943329, -3.142235/4.773598504770025m), LastiC3UpdtTime-3:07:25, WillUpdate-False, Already Processed
richards_iphone	3:07:30p	Away	Away	30 sec	-	0.99 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-Sig Loc Change@3:03:27, State-not_home, Trigger-Sig Loc Change@3:03:27, LastLoc-3:07:25, Zone-not_home, HomeDist-1.59km, inZone-False, GPS-(55.943329, -3.142235), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:07:56p	Away	Away	2 min	-	0.99 mi	Discarded > Requesting iOSApp Location #4 > LastLocTime-3:03:27 (4.5 min ago), LastRequested-3:06:25 (1.5 min ago), OldLocThreshold-1 min, GPS-(55.943329, -3.142235), NextUpdt-3:10:00, OldLocPoorGpsCnt-#0, DiscardCnt-#35
richards_iphone	3:07:56p	Away	Away	2 min	-	0.99 mi	Requesting iOSApp Location #4 > LastLocTime-3:03:27 (4.5 min ago), LastRequested-3:06:25 (1.5 min ago)
richards_iphone	3:07:56p	Away	Away	2 min	-	0.99 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-not_home, Trigger-Sig Loc Change@3:03:27, LastLoc-3:07:25, Zone-not_home, HomeDist-1.59km, inZone-False, GPS-(55.943329, -3.142235), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:08:00p	Away	Away	2 min	-	0.99 mi	iOSApp Monitor > Trigger-Sig Loc Change@3:03:28 (4m32s ago), State-not_home@3:03:27 (4m33s ago), GPS-(55.943329, -3.142235/4.773598504770025m), LastiC3UpdtTime-3:07:55, WillUpdate-False, Already Processed
richards_iphone	3:08:00p	Away	Away	2 min	-	0.99 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-Sig Loc Change@3:03:27, State-not_home, Trigger-Sig Loc Change@3:03:27, LastLoc-3:07:55, Zone-not_home, HomeDist-1.59km, inZone-False, GPS-(55.943329, -3.142235), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:08:30p	Away	Away	2 min	-	0.99 mi	iOSApp Monitor > Trigger-Sig Loc Change@3:03:28 (5m2s ago), State-not_home@3:08:27 (3s ago), GPS-(55.938782, -3.174137/4.751380017506609m), LastiC3UpdtTime-3:07:55, WillUpdate-True, iOSApp Loc Update@3:08:27
richards_iphone	3:08:30p	Away	Away	2 min	-	0.99 mi	iOSApp Trigger Change detected > iOSApp Loc Update
richards_iphone	3:08:30p	Away	Away	2 min	-	0.99 mi	Device Monitor > UpdateMethod-IOSAPP, UpdateReason-iOSApp Loc Update, State-not_home, Trigger-iOSApp Loc Update, LastLoc-3:08:27, Zone-not_home, HomeDist-2.13km, inZone-False, GPS-(55.938782, -3.174137/4.751380017506609m), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:08:30p	Away	Away	2 min	-	0.99 mi	iOS App update started (iOSApp Loc Update)
richards_iphone	3:08:30p	Away	Away	2 min	-	0.99 mi	Selected Zone > Away > Gym-4.84km/r45, MumDad-1.08km/r45, ProjectStrengthFitness-2.03km/r45, Work-2.37km/r45, Home-2.13km/r100, Stationary-3.03km/r1
richards_iphone	3:08:36p	Away	Away	2 min	-	0.99 mi	Waze Route Failure > No Response from Waze Servers, Calc distance will be used
richards_iphone	3:08:36p	Away	Away	2 min	-	0.99 mi	Stat Zone > Reset Timer, MovedOverLimit-True, Moved-2.06km, Timer-3:11:30,  to 3:16:30
richards_iphone	3:08:36p	Away	Away	2 min	-	0.99 mi	Distance Data > DirOfTrav-AwayFrom, LastDirOfTrav-left_zone, DistFmZone-2.13km, LastDistFmZone-0.99km, DistFmZoneMoved-1.14km, DistFmLastPollMoved-2.06km
richards_iphone	3:08:36p	Away	Away	30 sec	-	1.32 mi	Results: From-Home > CurrZone-Away, GPS-(55.938782, -3.174137/4.751380017506609m), Interval-30 sec (3-<3.5km), Dist-1.32 mi, NextUpdt-3:09:00, LocationTime-3:08:27 (10 sec ago), OldLocThreshold-1 min, WillMoveIntoStatZoneAfter-3:16:30 (0m)
richards_iphone	3:08:37p	Away	Away	30 sec	-	1.32 mi	IOS App update complete
richards_iphone	3:08:40p	Away	Away	30 sec	-	1.32 mi	iOSApp Monitor > Trigger-Sig Loc Change@3:03:28 (5m12s ago), State-not_home@3:08:27 (13s ago), GPS-(55.938782, -3.174137/4.751380017506609m), LastiC3UpdtTime-3:08:30, WillUpdate-False, Already Processed
richards_iphone	3:08:40p	Away	Away	30 sec	-	1.32 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-iOSApp Loc Update@3:08:27, State-not_home, Trigger-iOSApp Loc Update@3:08:27, LastLoc-3:08:36, Zone-not_home, HomeDist-2.13km, inZone-False, GPS-(55.938782, -3.174137/4.751380017506609m), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:08:55p	Away	Away	30 sec	-	1.32 mi	Requesting iOSApp Location #0 > LastLocTime-3:08:27 (28 sec ago)
richards_iphone	3:08:55p	Away	Away	30 sec	-	1.32 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-not_home, Trigger-iOSApp Loc Update@3:08:27, LastLoc-3:08:36, Zone-not_home, HomeDist-2.13km, inZone-False, GPS-(55.938782, -3.174137/4.751380017506609m), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:09:01p	Away	Away	30 sec	-	1.32 mi	Discarded > Requesting iOSApp Location #1 > LastLocTime-3:08:27 (33 sec ago), LastRequested-3:08:55 (5 sec ago), OldLocThreshold-1 min, GPS-(55.938782, -3.174137), NextUpdt-3:09:30, OldLocPoorGpsCnt-#0, DiscardCnt-#36
richards_iphone	3:09:01p	Away	Away	30 sec	-	1.32 mi	Requesting iOSApp Location #1 > LastLocTime-3:08:27 (33 sec ago), LastRequested-3:08:55 (5 sec ago)
richards_iphone	3:09:05p	Away	Away	30 sec	-	1.32 mi	iOSApp Monitor > Trigger-Sig Loc Change@3:03:28 (5m37s ago), State-not_home@3:08:27 (38s ago), GPS-(55.938782, -3.174137/4.751380017506609m), LastiC3UpdtTime-3:09:00, WillUpdate-False, Already Processed
richards_iphone	3:09:05p	Away	Away	30 sec	-	1.32 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-iOSApp Loc Update@3:08:27, State-not_home, Trigger-iOSApp Loc Update@3:08:27, LastLoc-3:09:00, Zone-not_home, HomeDist-2.13km, inZone-False, GPS-(55.938782, -3.174137), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:09:26p	Away	Away	30 sec	-	1.32 mi	Discarded > Requesting iOSApp Location #2 > LastLocTime-3:08:27 (58 sec ago), LastRequested-3:08:55 (30 sec ago), OldLocThreshold-1 min, GPS-(55.938782, -3.174137), NextUpdt-3:10:00, OldLocPoorGpsCnt-#0, DiscardCnt-#37
richards_iphone	3:09:26p	Away	Away	30 sec	-	1.32 mi	Requesting iOSApp Location #2 > LastLocTime-3:08:27 (58 sec ago), LastRequested-3:08:55 (30 sec ago)
richards_iphone	3:09:26p	Away	Away	30 sec	-	1.32 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-not_home, Trigger-iOSApp Loc Update@3:08:27, LastLoc-3:09:00, Zone-not_home, HomeDist-2.13km, inZone-False, GPS-(55.938782, -3.174137), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:09:30p	Away	Away	30 sec	-	1.32 mi	iOSApp Monitor > Trigger-Sig Loc Change@3:03:28 (6m2s ago), State-not_home@3:08:27 (1m3s ago), GPS-(55.938782, -3.174137/4.751380017506609m), LastiC3UpdtTime-3:09:25, WillUpdate-False, Already Processed
richards_iphone	3:09:30p	Away	Away	30 sec	-	1.32 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-iOSApp Loc Update@3:08:27, State-not_home, Trigger-iOSApp Loc Update@3:08:27, LastLoc-3:09:25, Zone-not_home, HomeDist-2.13km, inZone-False, GPS-(55.938782, -3.174137), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:09:56p	Away	Away	30 sec	-	1.32 mi	Discarded > Requesting iOSApp Location #3 > LastLocTime-3:08:27 (1.5 min ago), LastRequested-3:08:55 (1 min ago), OldLocThreshold-1 min, GPS-(55.938782, -3.174137), NextUpdt-3:10:30, OldLocPoorGpsCnt-#0, DiscardCnt-#38
richards_iphone	3:09:56p	Away	Away	30 sec	-	1.32 mi	Requesting iOSApp Location #3 > LastLocTime-3:08:27 (1.5 min ago), LastRequested-3:08:55 (1 min ago)
richards_iphone	3:09:56p	Away	Away	30 sec	-	1.32 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-not_home, Trigger-iOSApp Loc Update@3:08:27, LastLoc-3:09:25, Zone-not_home, HomeDist-2.13km, inZone-False, GPS-(55.938782, -3.174137), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:10:00p	Away	Away	30 sec	-	1.32 mi	iOSApp Monitor > Trigger-Sig Loc Change@3:03:28 (6m32s ago), State-not_home@3:08:27 (1m33s ago), GPS-(55.938782, -3.174137/4.751380017506609m), LastiC3UpdtTime-3:09:55, WillUpdate-False, Already Processed
richards_iphone	3:10:00p	Away	Away	30 sec	-	1.32 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-iOSApp Loc Update@3:08:27, State-not_home, Trigger-iOSApp Loc Update@3:08:27, LastLoc-3:09:55, Zone-not_home, HomeDist-2.13km, inZone-False, GPS-(55.938782, -3.174137), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:10:25p	Away	Away	2 min	-	1.32 mi	Discarded > Requesting iOSApp Location #4 > LastLocTime-3:08:27 (2 min ago), LastRequested-3:08:55 (1.5 min ago), OldLocThreshold-1 min, GPS-(55.938782, -3.174137), NextUpdt-3:12:30, OldLocPoorGpsCnt-#0, DiscardCnt-#39
richards_iphone	3:10:25p	Away	Away	2 min	-	1.32 mi	Requesting iOSApp Location #4 > LastLocTime-3:08:27 (2 min ago), LastRequested-3:08:55 (1.5 min ago)
richards_iphone	3:10:25p	Away	Away	2 min	-	1.32 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-not_home, Trigger-iOSApp Loc Update@3:08:27, LastLoc-3:09:55, Zone-not_home, HomeDist-2.13km, inZone-False, GPS-(55.938782, -3.174137), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:10:30p	Away	Away	2 min	-	1.32 mi	iOSApp Monitor > Trigger-Sig Loc Change@3:03:28 (7m2s ago), State-not_home@3:08:27 (2m3s ago), GPS-(55.938782, -3.174137/4.751380017506609m), LastiC3UpdtTime-3:10:25, WillUpdate-False, Already Processed
richards_iphone	3:10:30p	Away	Away	2 min	-	1.32 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-iOSApp Loc Update@3:08:27, State-not_home, Trigger-iOSApp Loc Update@3:08:27, LastLoc-3:10:25, Zone-not_home, HomeDist-2.13km, inZone-False, GPS-(55.938782, -3.174137), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:11:15p	Away	Away	2 min	-	1.32 mi	iOSApp Monitor > Trigger-Region Entered@3:11:11 (4s ago), State-not_home@3:11:11 (4s ago), GPS-(55.934998, -3.160062/4.763875139835498m), LastiC3UpdtTime-3:10:25, WillUpdate-True, Trigger Change-Region Entered
richards_iphone	3:11:15p	Away	Away	2 min	-	1.32 mi	iOSApp Trigger Change detected > Region Entered
richards_iphone	3:11:15p	Away	Away	2 min	-	1.32 mi	Device Monitor > UpdateMethod-IOSAPP, UpdateReason-Trigger Change, State-not_home, Trigger-Region Entered, LastLoc-3:11:11, Zone-not_home, HomeDist-2.26km, inZone-False, GPS-(55.934998, -3.160062/4.763875139835498m), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:11:15p	Away	Away	2 min	-	1.32 mi	iOS App update started (Trigger Change)
richards_iphone	3:11:15p	Away	Away	2 min	-	1.32 mi	Selected Zone > Away > Gym-5.35km/r45, MumDad-130m/r45, ProjectStrengthFitness-1.08km/r45, Work-2.37km/r45, Home-2.26km/r100, Stationary-3.25km/r1
richards_iphone	3:11:21p	Away	Away	2 min	-	1.32 mi	Waze Route Failure > No Response from Waze Servers, Calc distance will be used
richards_iphone	3:11:21p	Away	Away	2 min	-	1.32 mi	Stat Zone > Reset Timer, MovedOverLimit-True, Moved-0.98km, Timer-3:16:30,  to 3:19:15
richards_iphone	3:11:21p	Away	Away	2 min	-	1.32 mi	Distance Data > DirOfTrav-AwayFrom, LastDirOfTrav-AwayFrom, DistFmZone-2.26km, LastDistFmZone-1.32km, DistFmZoneMoved-0.94km, DistFmLastPollMoved-0.98km
richards_iphone	3:11:21p	Away	Away	30 sec	-	1.4 mi	Results: From-Home > CurrZone-Away, GPS-(55.934998, -3.160062/4.763875139835498m), Interval-30 sec (3-<3.5km), Dist-1.4 mi, NextUpdt-3:11:45, LocationTime-3:11:11 (10 sec ago), OldLocThreshold-1 min, WillMoveIntoStatZoneAfter-3:19:15 (0m)
richards_iphone	3:11:21p	Away	Away	30 sec	-	1.4 mi	IOS App update complete
richards_iphone	3:11:25p	Away	Away	30 sec	-	1.4 mi	iOSApp Monitor > Trigger-Region Entered@3:11:11 (14s ago), State-mum_dad@3:11:24 (1s ago), GPS-(55.934021, -3.158419/4.768894075664373m), LastiC3UpdtTime-3:11:15, WillUpdate-True, State Change-mum_dad
richards_iphone	3:11:25p	MumDad	Away	30 sec	-	1.4 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-Region Entered, State-mum_dad, Trigger-Region Entered, LastLoc-3:11:11, Zone-mum_dad, HomeDist-2.36km, inZone-True, GPS-(55.934021, -3.158419/4.768894075664373m), StateThisPoll-mum_dad, StateLastPoll-not_home
richards_iphone	3:11:30p	MumDad	Away	30 sec	-	1.4 mi	iOSApp State Change detected > not_home to mum_dad
richards_iphone	3:11:30p	MumDad	Away	30 sec	-	1.4 mi	Outside Zone and No Exit Zone trigger, Keeping in zone > Zone-mum_dad, Distance-46.74m, DiscardDist-45m to 145m 
richards_iphone	3:11:30p	MumDad	Away	30 sec	-	1.4 mi	Device Monitor > UpdateMethod-None, UpdateReason-iOSApp Loc Update, State-mum_dad, Trigger-iOSApp Loc Update, LastLoc-3:11:24, Zone-mum_dad, HomeDist-2.36km, inZone-True, GPS-(55.934021, -3.158419/4.768894075664373m), StateThisPoll-mum_dad, StateLastPoll-not_home
richards_iphone	3:11:35p	MumDad	Away	30 sec	-	1.4 mi	iOSApp Monitor > Trigger-Region Entered@3:11:11 (24s ago), State-mum_dad@3:11:24 (11s ago), GPS-(55.934021, -3.158419/4.768894075664373m), LastiC3UpdtTime-3:11:15, WillUpdate-False, Already Processed
richards_iphone	3:11:35p	MumDad	Away	30 sec	-	1.4 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-Region Entered@3:11:11, State-not_home, Trigger-Region Entered@3:11:11, LastLoc-3:11:21, Zone-not_home, HomeDist-2.26km, inZone-False, GPS-(55.934998, -3.160062/4.763875139835498m), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:11:40p	MumDad	Away	30 sec	-	1.4 mi	Requesting iOSApp Location #0 > LastLocTime-3:11:11 (29 sec ago)
richards_iphone	3:11:40p	MumDad	Away	30 sec	-	1.4 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-not_home, Trigger-Region Entered@3:11:11, LastLoc-3:11:21, Zone-not_home, HomeDist-2.26km, inZone-False, GPS-(55.934998, -3.160062/4.763875139835498m), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:11:46p	MumDad	Away	30 sec	-	1.4 mi	Discarded > Requesting iOSApp Location #1 > LastLocTime-3:11:11 (34 sec ago), LastRequested-3:11:40 (5 sec ago), OldLocThreshold-1 min, GPS-(55.934998, -3.160062), NextUpdt-3:12:15, OldLocPoorGpsCnt-#0, DiscardCnt-#40
richards_iphone	3:11:46p	MumDad	Away	30 sec	-	1.4 mi	Requesting iOSApp Location #1 > LastLocTime-3:11:11 (34 sec ago), LastRequested-3:11:40 (5 sec ago)
richards_iphone	3:11:50p	MumDad	Away	30 sec	-	1.4 mi	iOSApp Monitor > Trigger-Region Entered@3:11:11 (39s ago), State-mum_dad@3:11:24 (26s ago), GPS-(55.934021, -3.158419/4.768894075664373m), LastiC3UpdtTime-3:11:45, WillUpdate-False, Already Processed
richards_iphone	3:11:50p	MumDad	Away	30 sec	-	1.4 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-Region Entered@3:11:11, State-not_home, Trigger-Region Entered@3:11:11, LastLoc-3:11:45, Zone-not_home, HomeDist-2.26km, inZone-False, GPS-(55.934998, -3.160062), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:12:10p	MumDad	Away	30 sec	-	1.4 mi	Discarded > Requesting iOSApp Location #2 > LastLocTime-3:11:11 (59 sec ago), LastRequested-3:11:40 (30 sec ago), OldLocThreshold-1 min, GPS-(55.934998, -3.160062), NextUpdt-3:12:45, OldLocPoorGpsCnt-#0, DiscardCnt-#41
richards_iphone	3:12:10p	MumDad	Away	30 sec	-	1.4 mi	Requesting iOSApp Location #2 > LastLocTime-3:11:11 (59 sec ago), LastRequested-3:11:40 (30 sec ago)
richards_iphone	3:12:10p	MumDad	Away	30 sec	-	1.4 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-not_home, Trigger-Region Entered@3:11:11, LastLoc-3:11:45, Zone-not_home, HomeDist-2.26km, inZone-False, GPS-(55.934998, -3.160062), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:12:15p	MumDad	Away	30 sec	-	1.4 mi	iOSApp Monitor > Trigger-Region Entered@3:11:11 (1m4s ago), State-mum_dad@3:11:24 (51s ago), GPS-(55.934021, -3.158419/4.768894075664373m), LastiC3UpdtTime-3:12:10, WillUpdate-False, Already Processed
richards_iphone	3:12:15p	MumDad	Away	30 sec	-	1.4 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-Region Entered@3:11:11, State-not_home, Trigger-Region Entered@3:11:11, LastLoc-3:12:10, Zone-not_home, HomeDist-2.26km, inZone-False, GPS-(55.934998, -3.160062), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:12:40p	MumDad	Away	30 sec	-	1.4 mi	Discarded > Requesting iOSApp Location #3 > LastLocTime-3:11:11 (1.5 min ago), LastRequested-3:11:40 (1 min ago), OldLocThreshold-1 min, GPS-(55.934998, -3.160062), NextUpdt-3:13:15, OldLocPoorGpsCnt-#0, DiscardCnt-#42
richards_iphone	3:12:40p	MumDad	Away	30 sec	-	1.4 mi	Requesting iOSApp Location #3 > LastLocTime-3:11:11 (1.5 min ago), LastRequested-3:11:40 (1 min ago)
richards_iphone	3:12:40p	MumDad	Away	30 sec	-	1.4 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-not_home, Trigger-Region Entered@3:11:11, LastLoc-3:12:10, Zone-not_home, HomeDist-2.26km, inZone-False, GPS-(55.934998, -3.160062), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:12:45p	MumDad	Away	30 sec	-	1.4 mi	iOSApp Monitor > Trigger-Region Entered@3:11:11 (1m34s ago), State-mum_dad@3:11:24 (1m21s ago), GPS-(55.934021, -3.158419/4.768894075664373m), LastiC3UpdtTime-3:12:40, WillUpdate-False, Already Processed
richards_iphone	3:12:45p	MumDad	Away	30 sec	-	1.4 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-Region Entered@3:11:11, State-not_home, Trigger-Region Entered@3:11:11, LastLoc-3:12:40, Zone-not_home, HomeDist-2.26km, inZone-False, GPS-(55.934998, -3.160062), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:13:10p	MumDad	Away	2 min	-	1.4 mi	Discarded > Requesting iOSApp Location #4 > LastLocTime-3:11:11 (2 min ago), LastRequested-3:11:40 (1.5 min ago), OldLocThreshold-1 min, GPS-(55.934998, -3.160062), NextUpdt-3:15:15, OldLocPoorGpsCnt-#0, DiscardCnt-#43
richards_iphone	3:13:10p	MumDad	Away	2 min	-	1.4 mi	Requesting iOSApp Location #4 > LastLocTime-3:11:11 (2 min ago), LastRequested-3:11:40 (1.5 min ago)
richards_iphone	3:13:10p	MumDad	Away	2 min	-	1.4 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-not_home, Trigger-Region Entered@3:11:11, LastLoc-3:12:40, Zone-not_home, HomeDist-2.26km, inZone-False, GPS-(55.934998, -3.160062), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:13:15p	MumDad	Away	2 min	-	1.4 mi	iOSApp Monitor > Trigger-Region Entered@3:11:11 (2m4s ago), State-mum_dad@3:11:24 (1m51s ago), GPS-(55.934021, -3.158419/4.768894075664373m), LastiC3UpdtTime-3:13:10, WillUpdate-False, Already Processed
richards_iphone	3:13:15p	MumDad	Away	2 min	-	1.4 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-Region Entered@3:11:11, State-not_home, Trigger-Region Entered@3:11:11, LastLoc-3:13:10, Zone-not_home, HomeDist-2.26km, inZone-False, GPS-(55.934998, -3.160062), StateThisPoll-not_home, StateLastPoll-not_home
richards_iphone	3:13:35p	MumDad	Away	2 min	-	1.4 mi	iOSApp Monitor > Trigger-Sig Loc Change@3:13:33 (2s ago), State-mum_dad@3:13:33 (2s ago), GPS-(55.933899, -3.159269/35m), LastiC3UpdtTime-3:13:10, WillUpdate-True, Trigger Change-Sig Loc Change
richards_iphone	3:13:35p	MumDad	Away	2 min	-	1.4 mi	iOSApp State Change detected > not_home to mum_dad
richards_iphone	3:13:35p	MumDad	Away	2 min	-	1.4 mi	Device Monitor > UpdateMethod-IOSAPP, UpdateReason-Sig Loc Change, State-mum_dad, Trigger-Sig Loc Change, LastLoc-3:13:33, Zone-mum_dad, HomeDist-2.38km, inZone-True, GPS-(55.933899, -3.159269/35m), StateThisPoll-mum_dad, StateLastPoll-not_home
richards_iphone	3:13:35p	MumDad	Away	2 min	-	1.4 mi	iOS App update started (Sig Loc Change)
richards_iphone	3:13:35p	MumDad	Away	2 min	-	1.4 mi	Selected Zone > MumDad > Gym-5.48km/r45, MumDad-0m/r45, ProjectStrengthFitness-1.02km/r45, Work-2.48km/r45, Home-2.38km/r100, Stationary-3.37km/r1
richards_iphone	3:13:41p	MumDad	MumDad	2 min	-	1.4 mi	Waze Route Failure > No Response from Waze Servers, Calc distance will be used
richards_iphone	3:13:41p	MumDad	MumDad	2 min	-	1.4 mi	Distance Data > DirOfTrav-in_zone, LastDirOfTrav-AwayFrom, DistFmZone-2.38km, LastDistFmZone-1.4km, DistFmZoneMoved-0.98km, DistFmLastPollMoved-130m
richards_iphone	3:13:41p	MumDad	MumDad	2 hrs	-	1.48 mi	Results: From-Home > CurrZone-MumDad, GPS-(55.933899, -3.159269/35m), Interval-2 hrs (1-EnterZone), Dist-1.48 mi, NextUpdt-5:13:30, LocationTime-3:13:33 (9 sec ago), OldLocThreshold-3 min
richards_iphone	3:13:42p	MumDad	MumDad	2 hrs	-	1.48 mi	IOS App update complete
richards_iphone	3:13:45p	MumDad	MumDad	2 hrs	-	1.48 mi	iOSApp Monitor > Trigger-Sig Loc Change@3:13:33 (12s ago), State-mum_dad@3:13:33 (12s ago), GPS-(55.933899, -3.159269/35m), LastiC3UpdtTime-3:13:35, WillUpdate-False, Already Processed
richards_iphone	3:13:45p	MumDad	MumDad	2 hrs	-	1.48 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-Sig Loc Change@3:13:33, State-mum_dad, Trigger-Sig Loc Change@3:13:33, LastLoc-3:13:41, Zone-mum_dad, HomeDist-2.38km, inZone-True, GPS-(55.933899, -3.159269/35m), StateThisPoll-mum_dad, StateLastPoll-mum_dad
richards_iphone	3:30:00p	MumDad	MumDad	2 hrs	-	1.48 mi	iOSApp Monitor > Trigger-Sig Loc Change@3:13:33 (16m27s ago), State-mum_dad@3:13:33 (16m27s ago), GPS-(55.933899, -3.159269/35m), LastiC3UpdtTime-3:13:35, WillUpdate-False, Already Processed
richards_iphone	3:55:55p	MumDad	MumDad	2 hrs	-	1.48 mi	iOSApp Monitor > Trigger-Sig Loc Change@3:13:33 (42m22s ago), State-mum_dad@3:55:54 (1s ago), GPS-(55.93396, -3.159123/29.7915657709892m), LastiC3UpdtTime-3:13:35, WillUpdate-True, iOSApp Loc Update@3:55:54
richards_iphone	3:55:55p	MumDad	MumDad	2 hrs	-	1.48 mi	iOSApp Trigger Change detected > iOSApp Loc Update
richards_iphone	3:55:55p	MumDad	MumDad	2 hrs	-	1.48 mi	Device Monitor > UpdateMethod-IOSAPP, UpdateReason-iOSApp Loc Update, State-mum_dad, Trigger-iOSApp Loc Update, LastLoc-3:55:54, Zone-mum_dad, HomeDist-2.37km, inZone-True, GPS-(55.93396, -3.159123/29.7915657709892m), StateThisPoll-mum_dad, StateLastPoll-mum_dad
richards_iphone	3:55:55p	MumDad	MumDad	2 hrs	-	1.48 mi	iOS App update started (iOSApp Loc Update)
richards_iphone	3:55:55p	MumDad	MumDad	2 hrs	-	1.48 mi	Selected Zone > MumDad > Gym-5.47km/r45, MumDad-0m/r45, ProjectStrengthFitness-1.01km/r45, Work-2.47km/r45, Home-2.37km/r100, Stationary-3.37km/r1
richards_iphone	3:55:56p	MumDad	MumDad	2 hrs	-	1.48 mi	Waze Route Failure > No Response from Waze Servers, Calc distance will be used
richards_iphone	3:55:56p	MumDad	MumDad	2 hrs	-	1.48 mi	Distance Data > DirOfTrav-in_zone, LastDirOfTrav-in_zone, DistFmZone-2.37km, LastDistFmZone-1.48km, DistFmZoneMoved-0.89km, DistFmLastPollMoved-0m
richards_iphone	3:55:56p	MumDad	MumDad	2 hrs	-	1.47 mi	Results: From-Home > CurrZone-MumDad, GPS-(55.93396, -3.159123/29.7915657709892m), Interval-2 hrs (3-InZone), Dist-1.47 mi, NextUpdt-5:56:00, LocationTime-3:55:54 (2 sec ago), OldLocThreshold-3 min
richards_iphone	3:55:56p	MumDad	MumDad	2 hrs	-	1.47 mi	IOS App update complete
richards_iphone	3:56:00p	MumDad	MumDad	2 hrs	-	1.47 mi	iOSApp Monitor > Trigger-Bkgnd Fetch@3:55:55 (5s ago), State-mum_dad@3:55:54 (6s ago), GPS-(55.93396, -3.159123/29.7915657709892m), LastiC3UpdtTime-3:55:55, WillUpdate-False, Already Processed
richards_iphone	3:56:00p	MumDad	MumDad	2 hrs	-	1.47 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-iOSApp Loc Update@3:55:54, State-mum_dad, Trigger-iOSApp Loc Update@3:55:54, LastLoc-3:55:56, Zone-mum_dad, HomeDist-2.37km, inZone-True, GPS-(55.93396, -3.159123/29.7915657709892m), StateThisPoll-mum_dad, StateLastPoll-mum_dad
